DEFAULT,en,ru
item_candy_corn_name,Candy Corn ,Кэнди Корн
item_candles_name,Candles,Свечи
item_shovel_name,Showel,Лопата
item_nest_name,Nest,Гнездо
item_match_name,Match,Коробок Спичек
item_bird_protein_name,Bird Protein,Птичий Корм
item_clock_name,Clock,Часы
item_wings_name,Wings,Крылья
item_pogo_name,Pogo,Пого
item_chef_hat_name,Chef Hat,Поварский Колпак
item_witch_hat_name,Witch Hat,Шляпа Ведьмы
,,
,,
,,
,,
item_candy_corn_desc,Increase max health by 1,Повышает максимальное здоровье на 1
item_candles_desc,"Circular attack, launches 16 burning bullets in all directions","Круговая атака, запускает 16 горящих пуль во все стороны"
item_shovel_desc,"Alternative attack, allows to move quickly, increases recharging time by 2.5 seconds","Альтернативная атака, позволяет быстро перемещаться, увеличивает время перезарядки на 2.5 секунды"
item_nest_desc,"Alternative attack, launches 8 bullets on all directions, increases reload time by 0.5 seconds","Альтернативная атака, выпускает 8 пуль во все стороны, увеличивает время перезарядки на 0.5 секунд"
item_match_desc,Sets your bullets on fire,Позволяет выпускать огненные заряды
item_bird_protein_desc,Increase bullet damage by 1,Увеличивает урон от пуль на 1
item_clock_desc,Reduces the reload time of alternative attack by 1.2 times,Уменьшает время перезарядки альтернативной атаки в 1.2 раза
item_wings_desc,Allows you to stay in the air for a short time,Позволяет ненадолго задержаться в воздухе
item_pogo_desc,Increases jump distance,Увеличивает дальность прыжка
item_chef_hat_desc,Throws a knife,Запускает нож
item_witch_hat_desc,Launches a spinning projectile ,Запускает крутящийся снаряд
,,
,,
tutorial,"[LMB] - attack
[RMB] - alt attack
[Q] - special attack
[WASD] - choose direction
[Space] - hold to jump
[Shift] + [Space] - precise jump","[ЛКМ] - атака
[ПКМ] - альт. атака
[Q] - специальная атака
[WASD] - выбор направления
[Space] - удерживай чтобы прыгнуть
[Shift] + [Space] - точный прыжок"
,,
final_text,Win,Дело в шляпе
